trial_id,dilemma_idx,scenario,action_left,action_right,action_left_type,action_right_type,source,source_label,gpt4_label,human_label,topic_group
202,32679,"In a university setting, a student has severe ADHD that makes it difficult for him to sit still and remain quiet. He often interrupts the class with outbursts and fidgeting, which distracts other students and disrupts their learning. Should the university accommodate this student's needs even if it negatively impacts other students' education?",Accommodate the student's needs,Not accommodate the student's needs,to_do,not_to_do,Human,to_do,to_do,to_do,school
203,37741,"You're an artist specializing in sculptures made from edible materials. You've been commissioned to create a large piece for an event in a region where starvation is rampant. Should you proceed with the commission, knowing your art will be discarded after the event, or reject it due to the potential wastefulness of food resources?",Proceed with the commission,Reject the commission,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,issue_personal_career
204,15189,"You are a high school student with a lot of homework but also a new video game you're eager to play. You decide to play the game first, promising to do your homework later, but end up playing all night and not having time for homework. Do you confess to your teacher about your irresponsible behavior or make up an excuse for not doing your homework?",Make up an excuse,Confess to the teacher,not_to_do,to_do,Human,to_do,to_do,to_do,issue_young_people
205,38811,"You're a fitness trainer advocating for mindful eating. One of your clients is stressed and tends to overeat as a coping mechanism, but you know they're not actually hungry. Should you tell your client to stop eating even when it might cause them more stress?",Tell the client to stop overeating,Not tell the client to stop overeating,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,role_duty_responsibility
206,6252,"Your best friend has been struggling with a serious addiction and has been in denial about it. You've decided to stage an intervention, knowing that it might strain or even break your friendship. Should you go ahead with the intervention, potentially hurting your friend emotionally, or should you withhold the intervention to preserve your friendship?",Withhold Intervention,Stage an Intervention,not_to_do,to_do,AI,to_do,to_do,to_do,issue_crime_addiction
207,16614,"You're in a public place, waiting for a friend, and you don't want to be bothered by strangers. You pretend to be on the phone to avoid unnecessary conversation, but you notice someone seems distressed and could use some help. Do you break character and offer assistance, potentially opening yourself up to further interaction, or do you stay on your 'call' and ignore their plight?",Offer Assistance,Ignore,to_do,not_to_do,Human,to_do,to_do,to_do,issue_self_image_social
208,20443,"Sarah is a project manager in a software development company where one of her team members, John, is physically disabled. Sarah is torn between giving John simpler tasks to avoid overburdening him, but this might be seen as discriminating or underestimating his capabilities. Should Sarah assign John the same complex tasks as the other team members, despite his physical limitations?",Assign complex tasks to John,Assign simpler tasks to John,to_do,not_to_do,Human,to_do,to_do,to_do,workplace
209,13227,You're a hardworking student who's been studying all night for a crucial exam and you're driving to school. You're stopped at a red light and you take the opportunity to look at your notes one last time. Should you continue reviewing your notes at the cost of possibly missing the light change and delaying other drivers?,Continue reviewing notes,Not Continue reviewing notes,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,school
210,38627,"You are a therapist with a patient who is expressing suicidal thoughts. The patient begs you not to tell anyone about their intentions for fear of being institutionalized. Should you respect their wishes and confidentiality, or should you break their trust to potentially save their life?",Respect their wishes and confidentiality,Break their trust to potentially save their life,to_do,not_to_do,AI,not_to_do,not_to_do,not_to_do,role_duty_responsibility
211,32463,"You're a skilled handyman who has fixed a broken refrigerator at your home. You discover that the appliance was faulty due to a manufacturer error that could potentially harm other customers. Do you attempt to capitalize on this knowledge by offering your repair service to others, or report the error to the manufacturer causing a possible recall?",Report the Error to the Manufacturer,Capitalize on the Knowledge,not_to_do,to_do,Human,not_to_do,not_to_do,not_to_do,close_relationship
212,24871,You are attending a meeting at work where a colleague is presenting a new project proposal. You find their ideas ridiculous and start making fun of them in your head. Should you voice out your thoughts to potentially improve the project or keep silent to avoid hurting their feelings?,Keeping Silent,Voicing Out,not_to_do,to_do,AI,to_do,to_do,to_do,workplace
213,29184,"Your best friend just had their first child and is excited to introduce the baby to you. However, you have a severe phobia of infants and are terrified to be around the new baby. Should you force yourself to confront your fear and potentially cause yourself distress, or avoid the situation and risk hurting your friend's feelings?",Confronting Fear,Avoiding the Situation,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,issue_pregnancy
214,1176,"You are a passionate animal rights activist and vegetarian. You enjoy watching a reality cooking show but they frequently prepare dishes using meat, which contradicts your stance on animal rights and vegetarianism. Would you continue to watch the show despite its content?",Continue watching the show,Stop watching the show,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,issue_wildlife_human_environment
215,37114,You're a single parent and you've been called in for an emergency night shift at work. You have no one else to leave your children with and you decide to leave them at a friend's house without their knowledge or consent. Should you risk losing your job by not going to work or potentially ruin a friendship by leaving your kids at a friend's place without permission?,Risk losing the job by not going to work,Leave children at friend's house without permission,not_to_do,to_do,AI,not_to_do,not_to_do,not_to_do,family
216,13035,"You are part of a close-knit team at work. Your colleagues plan a team-building event but fail to invite you, causing feelings of exclusion and upset. Do you confront your team about feeling excluded, potentially causing conflict, or do you stay silent and endure the feelings of exclusion?",Confrontation,Silence,to_do,not_to_do,AI,to_do,to_do,to_do,workplace
217,33390,"In a society where traditional gender norms still persist, a man chooses to express himself by wearing makeup. However, he is faced with violent confrontations due to others' insecurities and prejudices. Should he continue to express his identity openly and risk further harm, or suppress his true self for his safety?",Express Identity,Suppress Identity,to_do,not_to_do,Human,to_do,to_do,to_do,religion_custom
218,38562,"In order to combat loneliness, an individual has set up a bot to call their personal inbox periodically. However, the bot might be creating an illusion of companionship, which can potentially delay the individual from seeking real human interaction and companionship. Should the individual continue using the bot to mitigate their loneliness or seek real human interaction despite the discomfort it might bring?",Continue using the bot,Seek real human interaction,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,issue_self_image_social
219,1200,"You are a professional athlete with a minor but bothersome injury. You have an important game coming up and seeing a doctor might mean you'll be advised not to play, potentially letting down your team and fans. Should you ignore the pain and play, possibly worsening the injury?",Not play due to the injury,Play despite the injury,not_to_do,to_do,AI,not_to_do,not_to_do,not_to_do,issue_young_people
220,30329,"Your child loves to play video games and wants to be a professional gamer. However, you worry about the lack of job security, long hours and potential isolation from the real world this career choice entails. Should you support your child's dreams even if you think it might not be in their best long term interest?",Support your child's gaming career,Do not support your child's gaming career,to_do,not_to_do,AI,to_do,to_do,to_do,issue_young_people
221,7220,"You're a fashion enthusiast and a passionate blogger. You've been given a free dress by a company on the condition that you only post positive reviews about it, even though it doesn't fit you well. Should you compromise your authenticity and mislead your followers for the sake of maintaining your relationship with the company?",Refuse to post fake reviews,Agree to post positive reviews,not_to_do,to_do,AI,not_to_do,not_to_do,not_to_do,issue_self_image_social
222,14325,"John has been struggling with sex addiction for a few years now. He has recently started a new relationship and is unsure whether to disclose his addiction to his partner, fearing it may ruin their relationship. Should he disclose his addiction to his partner or keep it a secret to avoid potential conflict?",Conceal addiction,Disclose addiction,not_to_do,to_do,AI,to_do,to_do,to_do,issue_crime_addiction
223,12830,"Mary is in a committed relationship with John, but she has developed feelings for her colleague, Jake. She is torn between staying loyal to her partner or pursuing her feelings for Jake, who also seems interested in her. Should Mary confess her feelings to Jake and risk her relationship with John, or should she suppress her feelings and stay committed to John?",Confess feelings to Jake,Suppress feelings for Jake,to_do,not_to_do,AI,not_to_do,not_to_do,not_to_do,comitted_relationship
224,9134,"You are a beginner learning to play the piano. Your piano teacher, who is a family friend, is not a good teacher and often doesn't correct your mistakes, which is hindering your progress. Should you continue with the lessons out of loyalty and risk not improving, or should you find a new teacher and possibly hurt the friend's feelings?",Continue Lessons,Find a New Teacher,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,issue_personal_career
225,45289,"You're a single parent struggling to make ends meet and are offered a high-paying job requiring extensive travel. However, you know accepting the job would mean spending less time with your child, potentially affecting their upbringing. Do you accept the job for financial stability at the cost of your child's well-being?",Rejecting the Job,Accepting the Job,not_to_do,to_do,AI,not_to_do,not_to_do,not_to_do,family
226,7555,"You've invited an acquaintance to your birthday party, but they're known for drinking excessively and causing scenes. During the party, they become intoxicated and start to behave inappropriately, making your other guests uncomfortable. Should you ask the acquaintance to leave, potentially damaging your relationship, or allow them to stay and potentially ruin the party for your other guests?",Ask the acquaintance to leave,Allow the acquaintance to stay,to_do,not_to_do,Human,to_do,to_do,to_do,event_special
227,29644,You've discovered your friend is unknowingly dating a known criminal. You consider manipulating their perspective so they can see the truth and protect themselves. Should you interfere and manipulate your friend's viewpoint to potentially save them from harm?,Don't Interfere,Interfere,not_to_do,to_do,Human,to_do,to_do,to_do,issue_crime_addiction
228,23323,"John is a gay man living in a conservative, religious community where homosexuality is not accepted. He has been hiding his true identity because he fears the backlash and rejection from his friends and family. Should he continue living a lie to maintain peace in his community, or be honest with his identity and risk being ostracized?",Come Out,Stay Closeted,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,religion_custom
229,9635,"You are a high school student and have been recently practicing to get better at basketball. You discover that you can easily win games by exploiting a loophole in the rules, but it feels unfair to other players. Should you continue to use the loophole to win or play fairly even if it might cost you the game?",Play fairly,Exploit the loophole,not_to_do,to_do,Human,not_to_do,not_to_do,not_to_do,issue_young_people
230,2426,"John, an adult, is still dependent on his parents for financial support. Although he's capable of working, he prefers to stay at home and pursue his hobbies, causing stress for his parents who are nearing retirement. Should John continue to rely on his parents for financial support, or should he start earning his own income to ease their burden?",Start earning his own income,Continue to rely on parents,not_to_do,to_do,Human,not_to_do,not_to_do,not_to_do,family
231,14900,"You have been gifted a unique and expensive piece of art by a dear friend. However, you don't enjoy it anymore and want to give it away. Should you discuss with your friend before giving it away or just do it without letting them know?",Discussing with the friend before giving the art away,Not discussing with the friend before giving the art away,to_do,not_to_do,Human,to_do,to_do,to_do,issue_personal_career
232,12271,"Alice is a popular figure at her college, with several people vying for her attention and affection. Alice enjoys the attention and intentionally fosters competition among her admirers, leading to conflicts among them. Should Alice continue to encourage this competition, potentially damaging friendships, or should she discourage it and risk losing the attention she enjoys?",Discouraging Competition,Encouraging Competition,not_to_do,to_do,Human,not_to_do,not_to_do,not_to_do,school
233,35058,"Samantha, a trauma survivor, starts therapy for the painful memories from her past. Her therapist believes that confronting the past is the only way for healing, but Samantha is too terrified to revisit those memories. Should the therapist push Samantha to confront her past despite the immense fear and potential emotional harm?",Not push Samantha to confront her past,Push Samantha to confront her past,not_to_do,to_do,Human,not_to_do,not_to_do,not_to_do,role_duty_responsibility
234,41150,You are a manager of a newly formed team and your employees are fresh graduates with no prior work experience. They are making mistakes that are affecting the productivity and efficiency of the team. Should you criticize them early on to correct their mistakes and speed up the process or should you give them time to learn on their own and improve gradually?,Criticize early on,Give time to learn,to_do,not_to_do,Human,to_do,to_do,to_do,workplace
235,49777,"John has started a charity out of a sense of altruism and desires to help those in need. However, he realizes that the charity's administrative costs are eating up a significant part of the donations. Should John continue to operate the charity despite knowing that a large portion of the donations are not directly benefiting those in need?",Continue Operating the Charity,Not Continue Operating the Charity,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,business_organization
236,11553,"You are an experienced camper and always ensure to be aware of your surroundings. During a camping trip, you notice a fellow camper unknowingly dropping a large amount of trash around the campsite, which could potentially harm the local wildlife. Should you confront the camper about their littering or clean up the mess yourself to avoid conflict?",Clean Up Yourself,Confront the Camper,not_to_do,to_do,Human,to_do,to_do,to_do,friend
237,36767,"At a local community fair, a strength competition is being held where individuals are demonstrating their physical prowess. Among the competitors, there is a teenage boy who is clearly not as physically robust as the others and is struggling to keep up. Should the organizers let the boy continue to compete, potentially risking his health, or do they step in and stop him for his own safety?",Stop the boy,Let the boy continue,not_to_do,to_do,AI,not_to_do,not_to_do,not_to_do,issue_young_people
238,10434,"Your friend has decided to celebrate his birthday at a fancy, but expensive restaurant. You're currently facing financial issues, but you don't want to ruin the celebration or disappoint your friend. Should you be honest with your friend about your financial situation or borrow money to attend the celebration?",Borrow money to attend the celebration,Be honest with your friend about your financial situation,not_to_do,to_do,Human,to_do,to_do,to_do,event_special
239,19395,"A mountain climbing team is attempting to scale a challenging peak. The team leader sees that one of their members is struggling, but pushing on could lead to a breakthrough in their research on high-altitude physiology. Should the team leader risk a potential fall and push on for the sake of research or prioritize the member's safety and turn back?",Turn Back,Push On,not_to_do,to_do,Human,not_to_do,not_to_do,not_to_do,friend
240,23052,"A group of friends are discussing domestic violence and one of them starts making fun of men who get abused by women. This person argues that it's not possible for a man to be abused by a woman and everyone else laughs about it. Should the other friends speak up and correct the misconception, risking conflict and tension in their friendship, or remain silent to maintain harmony?",Speak Up,Remain Silent,to_do,not_to_do,Human,to_do,to_do,to_do,friend
241,36743,"After a long period of solitude, you're finally going on a date. Your date is incredibly charming and attractive, but you have found out from a reliable source that they're in a committed relationship. Do you confront them about it or enjoy the date pretending not to know?",Pretend not to know,Confront,not_to_do,to_do,Human,to_do,to_do,to_do,issue_self_image_social
242,48182,"You and your spouse have a disagreement about disciplining your child. You believe in gentle discipline without any physical punishment, while your spouse believes a small smack is sometimes needed to correct the child's behavior. Should you stand your ground and potentially cause more disagreement with your spouse or compromise your beliefs for the sake of marital peace?",Compromise beliefs,Stand your ground,not_to_do,to_do,Human,to_do,to_do,to_do,issue_pregnancy
243,6868,"You've been working in a dead-end job for years and you feel like you aren't living up to your potential. You've been offered a new job that pays significantly more and offers better career prospects, but it involves working for a company that has questionable ethics. Do you take the job and improve your personal situation at the risk of compromising your ethical standards?",Take the job,Reject the job,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,workplace
244,1707,"A woman has been seeing a therapist after experiencing a traumatic event. The therapist realizes that he knows the person who caused the trauma, making it difficult to remain unbiased. Should the therapist continue the sessions or refer her to another professional?",Continue the sessions,Refer her to another professional,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,role_duty_responsibility
245,13113,"A psychology student is studying the impact of violent fantasies on behavior. During her research, she discovers a subject who repeatedly fantasizes about torture but has never acted on these fantasies. Should she break confidentiality and report this to the authorities, or respect her subject's privacy and continue with her research?",Not Break Confidentiality,Break Confidentiality,not_to_do,to_do,Human,not_to_do,not_to_do,not_to_do,school
246,4187,"As a project manager in a software company, you've made a costly mistake which has delayed the project timeline. You can easily blame it on your junior team member who was following your instructions. Do you accept responsibility for the mistake and possibly jeopardize your job, or blame the junior team member to save your position?",Blame the junior member,Accept responsibility,not_to_do,to_do,Human,to_do,to_do,to_do,workplace
247,5570,"You are a tech reviewer with a large social media following. A popular tech company sends you a new product for review, but you find the product subpar and potentially harmful to users. Should you publicly criticize the product, potentially damaging the company's reputation, or remain silent to maintain your relationship with the company?",Remain Silent,Criticize the product,not_to_do,to_do,Human,to_do,to_do,to_do,issue_self_image_social
248,35064,"You are a single parent working two jobs to support your family. You've been offered a promotion at one job, but it will require more time and energy, potentially leaving less time for your children. Do you accept the promotion, potentially compromising your time with your children, or decline it, potentially compromising their financial stability?",Decline the promotion,Accept the promotion,not_to_do,to_do,Human,to_do,to_do,to_do,family
249,38829,"You are walking in a park known for its diverse wildlife. You notice a peculiar looking bug on the path that you recognize as an invasive species, harmful to the local ecosystem. Do you squash the bug, potentially saving local species, or leave it alone, respecting its right to life?",Not Squashing the Bug,Squashing the Bug,not_to_do,to_do,Human,to_do,to_do,to_do,event_daily_life
250,28550,"During confession, a priest is bound by the seal of confession to keep all matters confidential. One day, a parishioner confesses to a serious crime that could harm others in the community. Should the priest break the seal of confession to protect the community, or stay silent to maintain the trust of his flock?",Maintain the seal of confession,Break the seal of confession,not_to_do,to_do,Human,not_to_do,not_to_do,not_to_do,religion_custom
251,9465,"While working at a summer camp, you notice a wasp nest near the playground. You worry that leaving the nest might put the children at risk, but also know that destroying it would kill the wasps. Do you risk the safety of the children or do you harm the wasps to protect the kids?",Destroy the Wasp Nest,Leave the Wasp Nest,to_do,not_to_do,Human,to_do,to_do,to_do,friend
252,32265,"You are a member of a local community group that helped you financially when you were struggling. However, you've discovered that the group is involved in illegal activities that could harm the community. Do you report the group to the authorities, risking the loss of their support and potentially your reputation within the community?",Not reporting the group,Reporting the group,not_to_do,to_do,AI,to_do,to_do,to_do,business_organization
253,33859,You are part of a hiking group with your friends. One of your friends doesn't have the right gear but wants to participate in a difficult hike which may put the entire group at risk. Should you allow your friend to join the hike or prioritize the safety of the group?,Allow friend to join hike,Not allow friend to join hike,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,friend
254,47632,"Sarah is a shy high school student who finds it easier to express herself online under a pseudonym. She has befriended a lonely elderly person in a chat room under this false identity, providing them with much needed companionship and support. Should Sarah reveal her true identity, possibly shattering their trust and friendship, or continue the deception?",Reveal Identity,Continue Deception,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,issue_self_image_social
255,49700,"You are watching a documentary about animal cruelty in farming industries. The documentary has deeply saddened you and you want to share it with your followers on social media to raise awareness, but you realize that it may upset or offend some of them. Should you share the documentary on your social media to raise awareness, despite knowing it might upset or offend some of your followers?",Share the documentary,Don't share the documentary,to_do,not_to_do,AI,to_do,to_do,to_do,issue_wildlife_human_environment
256,8444,"You've learned to be in touch with your emotions and express them openly. This has led you to be completely honest about your feelings with your close friend, potentially damaging the friendship. Should you suppress your feelings to maintain the friendship or voice them out and risk losing it?",Suppressing emotions,Expressing emotions openly,not_to_do,to_do,AI,not_to_do,not_to_do,not_to_do,issue_self_image_social
257,45117,You are going to the movies with a group of friends. Your best friend sneaks snacks into the theater to avoid paying the high concession prices. Do you tell the theater staff about your friend's actions or keep quiet?,Report your friend,Keep quiet,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,event_daily_life
258,38485,"You're a manager at a large corporation. You have begun dating one of your subordinates, causing tension and possible favoritism within the team. Do you disclose the relationship to human resources, potentially risking your job?",Disclose Relationship,Conceal Relationship,to_do,not_to_do,AI,to_do,to_do,to_do,workplace
259,41836,"You notice your friend has been drinking heavily for months, affecting their health and relationships. You worry about their wellbeing, but you also fear that confronting them might ruin your friendship. Should you risk your friendship by confronting and advising them to seek help?",Not confronting the friend,Confronting the friend,not_to_do,to_do,AI,to_do,to_do,to_do,issue_crime_addiction
260,30259,"John is a manager at a large corporation and has invested heavily in a new project. However, the project failed and resulted in a significant loss for the company. Should John take responsibility for the failure and risk losing his job or blame it on unforeseen market conditions?",Take Responsibility,Blame Market Conditions,to_do,not_to_do,AI,to_do,to_do,to_do,workplace
261,32963,"A group of friends regularly plays video games together for fun. However, one friend begins practicing extensively and becomes significantly better, causing tension and arguments in the group. Should the friend tone down his skills to maintain the harmony in the group, or continue playing to his full potential?",Continues playing to full potential,Toning down skills,not_to_do,to_do,AI,to_do,to_do,to_do,issue_young_people
262,11967,"You've been friends with someone for a long time, but recently they've been overstepping your personal boundaries and making you feel uncomfortable. You've tried to address it subtly, but they haven't taken the hint, and you're unsure if being more direct might damage the friendship. Should you confront your friend about their behavior or continue to endure their invasive actions?",Confront your friend,Endure their actions,to_do,not_to_do,AI,to_do,to_do,to_do,close_relationship
263,23514,"You are a highly skilled surgeon with a busy schedule. You receive an offer to perform a high-profile surgery that could greatly boost your career, however, it clashes with a previously scheduled surgery of a long-time patient. Should you cancel the long-time patient's surgery to accommodate the high-profile surgery?",Cancel long-time patient's surgery,Reject high-profile surgery,to_do,not_to_do,AI,not_to_do,not_to_do,not_to_do,role_duty_responsibility
264,38144,"In an open marriage, both partners have agreed to have intimate relationships outside of their marriage. However, one partner has developed deep emotional feelings for their extramarital partner, leading to a conflict of interests. Should they confess the emotional involvement to their spouse, potentially hurting them and damaging their marriage, or continue to hide their feelings and live with the guilt?",Confessing emotional involvement,Hiding the emotional involvement,to_do,not_to_do,Human,to_do,to_do,to_do,comitted_relationship
265,38593,"After a night out, your friend who has been drinking offers to give you a lift home. You know it's unsafe for them to drive under influence, but you also don't have any other means to get home. Do you accept the ride or refuse and find another, potentially inconvenient, way home?",Refuse the ride,Accept the ride,not_to_do,to_do,Human,not_to_do,not_to_do,not_to_do,event_special
266,21130,"You have come across a rare book that you know your best friend, an avid collector, would love. However, the book was stolen from a library and selling stolen goods is illegal. Do you give the book to your friend anyway or report it to the authorities?",Give the stolen book to your friend,Report the stolen book to the authorities,to_do,not_to_do,AI,not_to_do,not_to_do,not_to_do,event_daily_life
267,20195,"Your child is addicted to a violent video game, hampering his studies and behavior. As a parent, you want to confiscate the game, but you also know it���s the only thing that gives him joy and keeps him engaged. Should you confiscate the game knowing it might upset him and make him feel punished?",Not confiscate the game,Confiscate the game,not_to_do,to_do,AI,to_do,to_do,to_do,issue_young_people
268,33154,"While hiking in the wilderness, you get completely lost and stumble upon an abandoned cabin with a map inside. The cabin has clear signs stating not to take anything from it, but you are in desperate need to find your way back. Should you respect the cabin's rules and risk getting more lost, or should you take the map to ensure your safety?",Taking the map,Not taking the map,to_do,not_to_do,Human,to_do,to_do,to_do,friend
269,19967,"As a passionate gamer, you've recently started playing a highly addictive new video game. However, you've also recently started dating someone who dislikes video games and feels neglected when you spend too much time gaming. Should you limit your gaming time to prioritize your budding relationship, or continue gaming as you please?",Not limiting gaming time,Limiting gaming time,not_to_do,to_do,AI,to_do,to_do,to_do,issue_young_people
270,8366,"Jane, a successful entrepreneur, often finds herself immersed in memories of her tumultuous past. She believes that by reliving her past struggles, she's able to empathize with the underprivileged and use her time and resources to help them, but she also realizes that this obsession with the past is preventing her from focusing on her present endeavors. Should Jane continue to dwell on her past experiences and help others, or should she let go of the past and concentrate on her current projects?",Let go of the past and focus on current projects,Continue dwelling on past experiences,not_to_do,to_do,Human,to_do,to_do,to_do,comitted_relationship
271,33856,"You're a single parent working two jobs, but still struggling to make ends meet. One day, your children's school offers a food assistance program, but you've always been fundamentally against accepting help. Do you swallow your pride and accept the assistance or do you continue struggling to provide for your children on your own?",Accepting food assistance,Not accepting food assistance,to_do,not_to_do,Human,to_do,to_do,to_do,family
272,21961,"You are a member of an online role-playing community that often hosts virtual events. During one of these events, a player breaks the rules but it leads to a more enjoyable gaming experience for everyone involved. Should you report the player's rule-breaking behavior despite the fun it created?",Report the rule-breaking behavior,Ignore the rule-breaking behavior,to_do,not_to_do,AI,not_to_do,not_to_do,not_to_do,issue_young_people
273,30936,"James is a recovering alcoholic who has been sober for a year. His best friend, unaware of his struggle, offers him a beer at a party. Should James accept the beer to avoid embarrassing his friend or decline and risk revealing his personal issue?",Declining the beer,Accepting the beer,not_to_do,to_do,AI,not_to_do,not_to_do,not_to_do,issue_crime_addiction
274,47065,"You've been in a relationship with someone for a year now, but you've come to realize your partner isn't as committed as you are. You've found out your partner is still active on dating apps and seems to be looking for other potential partners. Do you confront your partner about their lack of commitment or silently end the relationship without explanation?",Ending the relationship silently,Confronting the partner,not_to_do,to_do,AI,to_do,to_do,to_do,comitted_relationship
275,13726,"You have been estranged from your older sibling due to their toxic behavior. They have recently reached out asking for financial assistance, claiming they have changed. Should you trust their word and provide the financial help they need?",Provide financial assistance,Refuse to provide financial assistance,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,family
276,25380,"You and your younger sibling are best friends and share everything with each other. One day, your sibling confides in you about shoplifting a small item from a local store, leaving you torn between loyalty and your moral values. Should you report your sibling's action to your parents or keep their secret?",Not reporting the shoplifting,Reporting the shoplifting,not_to_do,to_do,Human,not_to_do,not_to_do,not_to_do,family
277,1819,"You've been saving money for months for a charity donation. While shopping, you see a luxury item you've always wanted but couldn't afford until now. Do you use the money you saved to buy the item for yourself or stick to your original plan to donate it?",Buying the luxury item,Not buying the luxury item,to_do,not_to_do,AI,not_to_do,not_to_do,not_to_do,business_organization
278,34171,"As a teenager, your parent is recovering from alcoholism and regularly attends AA meetings. They ask you to come along for support but you feel uncomfortable and fear it might affect your relationship with them. Do you respect their request and attend the meeting, potentially compromising your comfort and relationship, or refuse to go, risking their recovery process?",Refuse to Attend,Attend the AA Meetings,not_to_do,to_do,AI,to_do,to_do,to_do,issue_crime_addiction
279,26831,"Drug addiction often leads to the need for rehabilitation services. However, a single parent with young children may not have anyone to care for their kids during their stay in rehab. Should the parent prioritize their own health and potentially risk their children's wellbeing, or continue their struggle with addiction to stay with their children?",Going to rehab,Not going to rehab,to_do,not_to_do,AI,not_to_do,not_to_do,not_to_do,issue_crime_addiction
280,4066,You're a vegan and have been invited to a fancy omnivorous dinner party. The host has spent a lot of money and effort to prepare a meat dish that you're expected to try. Should you prioritize personal values and refuse to eat the dish or respect the host's effort and try it?,Eat the meat dish,Refuse to eat the meat dish,to_do,not_to_do,Human,to_do,to_do,to_do,issue_wildlife_human_environment
281,18806,"You've recently moved to a busy city where outdoor dangers like traffic and aggressive stray animals are rampant. You've always allowed your cat to roam free, but now you're concerned for its safety. Should you confine your cat indoors to ensure its safety, or let it have its freedom despite the risks?",Confining the cat indoors,Letting the cat roam free,to_do,not_to_do,AI,to_do,to_do,to_do,issue_wildlife_human_environment
282,43811,"You're a parent to two young children and also have a pet dog at home. You discovered that your neighbor's dog bit their own child because the child was acting aggressively towards the dog. Do you teach your children to be assertive with dogs to show dominance or teach them to be calm and respectful, potentially risking them to be seen as submissive by the dog?",Teach children to be assertive with dogs,Not teaching children to be assertive with dogs,to_do,not_to_do,AI,not_to_do,not_to_do,not_to_do,issue_wildlife_human_environment
283,30846,"You have a strict daily routine that includes morning exercise which you never skip. One day, your elderly neighbor asks for your help at the exact time when you usually exercise because she has no one else to turn to. Do you skip your routine to help your neighbor or stick with your routine because it's important to your health and well-being?",Stick to Routine,Skip Routine,not_to_do,to_do,Human,to_do,to_do,to_do,role_duty_responsibility
284,24673,John is a teacher in a multicultural school who has developed a deep-seated hatred for a particular ethnic group. This animosity began after a traumatic incident in which members of this group harmed his family. Should John continue teaching in a multicultural environment where his bias could potentially impact his treatment of students from this ethnic group?,Continue teaching in a multicultural environment,Not continue teaching in a multicultural environment,to_do,not_to_do,AI,not_to_do,not_to_do,not_to_do,school
285,37743,"As the head of the household and a religious person, you believe in modesty and want members of your family to dress modestly even when at home. Your teenage daughter, however, feels that she should have the freedom to dress as she pleases in her own home and her revealing clothing makes you uncomfortable. Should you insist that your daughter dresses more modestly, infringing on her personal freedom, or respect her autonomy over her dress code?",Insist on Modesty,Respect Autonomy,to_do,not_to_do,AI,not_to_do,not_to_do,not_to_do,religion_custom
286,20299,"John is a star player in his high school basketball team. During an important match, he gets injured but his team is behind and needs him to win. Should John continue playing despite his injury, potentially worsening it, or take a break and risk losing the game?",Stop playing,Continue playing,not_to_do,to_do,AI,not_to_do,not_to_do,not_to_do,issue_young_people
287,47886,"You are a successful business owner and have a large house with extra rooms. A homeless person asks if they can sleep in your clothes for warmth during the cold winter nights. Should you let the homeless person sleep in your clothes, potentially risking your safety?",Not letting the homeless person sleep in your clothes,Letting the homeless person sleep in your clothes,not_to_do,to_do,AI,to_do,to_do,to_do,close_relationship
288,41906,"You have always kept in touch with old friends, including ones from high school. One of those friends has gotten involved in illegal activities and requests your help to evade the police. Should you assist your friend out of loyalty, or report him to the authorities?",Assisting Friend,Not Assisting Friend,to_do,not_to_do,Human,not_to_do,not_to_do,not_to_do,close_relationship
289,35732,"You are attending a formal dinner party with high-profile guests. The host starts making offensive jokes about a marginalized group, which everybody else seems to laugh at for the sake of politeness. Do you laugh along to keep up appearances or speak up against the inappropriate humor?",Speak up against the humor,Laugh along,not_to_do,to_do,Human,not_to_do,not_to_do,not_to_do,event_special
290,15585,"You have been practicing sustainable living and have recently learned to cook your own food. One day, you notice your neighbor throwing away perfectly good vegetables because they're slightly wilted. Should you confront your neighbor about their wastefulness, potentially causing conflict, or stay silent and let them continue their wasteful practices?",Not confronting the neighbor,Confronting the neighbor,not_to_do,to_do,Human,to_do,to_do,to_do,business_organization
291,6059,Emma and Sarah are best friends and today is Sarah's birthday. Emma has a crucial job interview scheduled at the same time as Sarah's birthday party. Should Emma attend her best friend's birthday party or go for the job interview?,Not attend Sarah's birthday party,Attend Sarah's birthday party,not_to_do,to_do,Human,not_to_do,not_to_do,not_to_do,event_special
